train_id,rr_mean,rr_std,station_count,endpoint,extracted_at
22486,136.86666666666667,31.93507302150551,15,https://api.railradar.in/api/v1/trains/22486/average-delay,2025-12-20T10:12:22.254008Z
22542,143.77777777777777,70.91274415752515,9,https://api.railradar.in/api/v1/trains/22542/average-delay,2025-12-20T10:12:22.266829Z
22613,6.615384615384615,9.811009996925053,26,https://api.railradar.in/api/v1/trains/22613/average-delay,2025-12-20T10:12:22.279065Z
22622,8.61111111111111,9.230919593583831,9,https://api.railradar.in/api/v1/trains/22622/average-delay,2025-12-20T10:12:22.235115Z
22643,85.4888888888889,50.89264178301536,45,https://api.railradar.in/api/v1/trains/22643/average-delay,2025-12-20T10:12:22.292711Z
22644,33.625,18.135341877119384,32,https://api.railradar.in/api/v1/trains/22644/average-delay,2025-12-20T10:12:22.287227Z
22645,29.91,22.5941784537522,50,https://api.railradar.in/api/v1/trains/22645/average-delay,2025-12-20T10:12:22.236045Z
22649,15.25,10.652660074679313,12,https://api.railradar.in/api/v1/trains/22649/average-delay,2025-12-20T10:12:22.251266Z
22819,25.125,12.74098070345114,28,https://api.railradar.in/api/v1/trains/22819/average-delay,2025-12-20T10:12:22.223876Z
22954,11.82,5.141750674624355,25,https://api.railradar.in/api/v1/trains/22954/average-delay,2025-12-20T10:12:22.233035Z
22959,12.833333333333334,6.5157927802805045,15,https://api.railradar.in/api/v1/trains/22959/average-delay,2025-12-20T10:12:22.265170Z
22974,9.756756756756756,9.66787772738379,37,https://api.railradar.in/api/v1/trains/22974/average-delay,2025-12-20T10:12:22.218842Z
26471,13.0,7.593857166596345,9,https://api.railradar.in/api/v1/trains/26471/average-delay,2025-12-20T10:12:22.268040Z
